link,title
https://www.theatlantic.com/politics/archive/2025/04/josh-shapiro-attempted-assessination/682503/,The Lies About Josh Shapiro Have Consequences - An attack on the Pennsylvania governor shows the dangers of tendentious misrepresentations.
https://www.theatlantic.com/politics/archive/2025/04/norquist-trump-tax-wealthy/682493/,Grover Norquist Can’t Believe What He’s Hearing - Is the GOP about to raise taxes?
https://www.theatlantic.com/politics/archive/2025/04/supreme-court-trump-contempt/682494/,"What Recourse Does the Supreme Court Actually Have? - As the Trump administration talks itself into refusing to comply with judicial orders, federal judges are moving closer to deploying the most powerful tool they have: contempt of court."
https://www.theatlantic.com/politics/archive/2025/04/trump-constitution-abrego-garcia/682487/,"A Loophole That Would Swallow the Constitution - If Donald Trump can disappear people to El Salvador without due process, he can do anything."
https://www.theatlantic.com/politics/archive/2025/04/ice-deportation-funding-increase/682480/,We’re About to Find Out What Mass Deportation Really Looks Like - The Trump administration’s campaign to remove millions of people from the United States could soon be supercharged by Congress.
https://www.theatlantic.com/politics/archive/2025/04/doge-manufactured-chaos-government/682470/,Federal Workers Are Facing a New Reality - The problem for government employees isn’t just low morale. It’s the manufactured chaos.
https://www.theatlantic.com/politics/archive/2025/04/trump-deportation-expansion-migrants/682460/,They Never Thought Trump Would Have Them Deported - The administration’s drive to carry out the largest campaign in history has ensnared people who didn’t see themselves as targets.
https://www.theatlantic.com/politics/archive/2025/04/harvard-chooses-defiance/682457/,"What Harvard Learned From Columbia’s Mistake - If cooperation and even capitulation don’t get you anywhere, why give in to the Trump administration’s demands?"
https://www.theatlantic.com/economy/archive/2025/04/trump-tariffs-economic-vision/682433/,Trump Is Running Economic Development In Reverse - The combination of tariffs and cuts to scientific research seems designed to move America down the value chain.
https://www.theatlantic.com/politics/archive/2025/04/bukele-trump-court-order/682432/,The Constitutional Crisis Is Here - Trump’s administration is only pretending to comply with the Supreme Court on the matter of a Maryland man it deported erroneously.
https://www.theatlantic.com/politics/archive/2025/04/bernie-sanders-aoc-rally/682430/,Can You Really Fight Populism With Populism? - The American left’s favorite double act hopes it has the key to rallying the anti-Trump resistance—and timid Democrats.
https://www.theatlantic.com/magazine/archive/2025/05/r-crumb-dan-nadel-cartoonists-life-review/682118/,The Dark Weirdness of R. Crumb - The illustrator dredged the depths of his own subconscious—and tapped into something collectively screwy in America.
https://www.theatlantic.com/politics/archive/2025/04/congress-tariffs-trump/682415/,A Perfect Case for Congressional Action - No one man should control the economy.
https://www.theatlantic.com/politics/archive/2025/04/supreme-court-confronts-donald-trump/682402/,The Confrontation Between Trump and the Supreme Court Has Arrived - The justices ordered the government to seek the return of a man whom it had wrongfully deported.
https://www.theatlantic.com/politics/archive/2025/04/republican-budget-trump-johnson/682400/,"A Win—And a Warning—For Trump’s Agenda - Republicans passed a budget, barely. But they still haven’t resolved their biggest disagreements."
https://www.theatlantic.com/politics/archive/2025/04/dictatorships-trump-republicans/682387/,This Is Why Dictatorships Fail - The authors of the Constitution separated powers for a reason.
https://www.theatlantic.com/politics/archive/2025/04/trump-third-term-republicans/682381/,Trump Says He Is Serious About Staying in Office Past 2028 - Why do Republicans keep claiming he isn’t?
https://www.theatlantic.com/politics/archive/2025/04/deal-trump-tariffs-china/682382/,The Art of the Retreat - Trump’s abrupt pivot from his planned global trade war was touted by allies as grand strategy. The president’s own words suggested otherwise.
https://www.theatlantic.com/politics/archive/2025/04/why-trump-paused-trade-war/682376/,"Why Trump Paused the Tariffs - A stock-market swoon, or even a recession, might not frighten him, but the prospect of a 2008-style meltdown apparently still does."
https://www.theatlantic.com/politics/archive/2025/04/trump-tariffs-supporters/682370/,"Americans Want to Be Rich - That simple aspiration propelled Trump into office, but it is now threatened by his tariffs."
https://www.theatlantic.com/politics/archive/2025/04/elise-stefanik-trump-cabinet/682335/,Will Elise Stefanik Get the Last Laugh? - Inside Trump’s decision to kill the MAGA star’s Cabinet nomination
https://www.theatlantic.com/ideas/archive/2025/04/trump-tariff-democrats-trade/682333/,The Democrats Won’t Acknowledge the Scale of Trump’s Tariff Mess - The president’s allies are putting up a bigger fight than the opposition party is.
https://www.theatlantic.com/politics/archive/2025/04/trump-tariffs-stocks-downturn/682332/,Trump Is Willing to Take the Pain - Advisers say the president is tuning out the markets and coverage and isn’t worried about the political impact of his tariffs—at least not yet.
https://www.theatlantic.com/magazine/archive/2025/05/trumpism-maga-populism-power-pursuit/682116/,"I Should Have Seen This Coming - When I joined the conservative movement in the 1980s, there were two types of people: those who cared earnestly about ideas, and those who wanted only to shock the left. The reactionary fringe has won."
https://www.theatlantic.com/politics/archive/2025/04/burgum-cookies/682319/,The Cabinet Secretary Who Wants His Cookies Freshly Baked - The unusual requests made of Interior Secretary Doug Burgum’s staff are raising concerns all the way to the White House.
https://www.theatlantic.com/politics/archive/2025/04/protest-washington-hands-off/682317/,"The Cardboard-Carrying Opposition Arrives - The “Hands Off” protest in Washington, D.C., drew thousands of people with a lot of feelings—but as-yet-inchoate anger at the Trump administration."
https://www.theatlantic.com/politics/archive/2025/04/trump-negotiation-tariff/682300/,"Trump Has Already Botched His Own Bad Tariff Plan - Once you’ve said you might negotiate, nobody is going to believe you when you change your mind and say you’ll never negotiate."
https://www.theatlantic.com/politics/archive/2025/04/democratic-party-problems/682290/,Democrats Have a Problem - They can’t stop talking about their problems.
https://www.theatlantic.com/politics/archive/2025/04/tariffs-trump-outcomes-incompatible/682286/,There Is Only One Way to Make Sense of the Tariffs - The policy is absurd. It’s also an extension of Trump’s chaotic personality.
https://www.theatlantic.com/politics/archive/2025/04/trump-travel-ban-lessons/682259/,How the Trump Administration Learned to Obscure the Truth in Court - This is a litigation strategy born of the first travel ban.
https://www.theatlantic.com/politics/archive/2025/04/trump-tariffs-political-capital/682274/,The Good News About Trump’s Tariffs - Authoritarian leaders are most dangerous when they’re popular. Wrecking the economy is unlikely to broaden Trump’s support.
https://www.theatlantic.com/politics/archive/2025/04/trump-liberation-day-tariffs-election/682272/,Trump’s Day of Reckoning - The president’s allies are privately acknowledging that he is in a rough stretch.
https://www.theatlantic.com/politics/archive/2025/04/wisconsin-election-musk-trump/682268/,Wisconsin’s Message for Trump - Elon Musk has become a political boat anchor.
https://www.theatlantic.com/politics/archive/2025/04/trump-tariff-carveout-farmers/682260/,No Tariff Exemptions for American Farmers - They voted for the tariffs when they voted for Trump.
https://www.theatlantic.com/politics/archive/2025/04/big-story-fallout-from-the-signal-controversy-jeffrey-goldberg/682253/,"The Big Story: The Fallout From the Signal Controversy - Jeffrey Goldberg joins Ashley Parker to discuss breaking the Signal story, the fallout, and more. Watch the recording of this subscriber-only event."
